lat	lon	title	description	icon	iconSize	iconOffset
52.11297800	8.65974080	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/281070911">281070911</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=8.6597398&right=8.6597418&top=52.1129790&bottom=52.1129770&select=node281070911">JOSM</a>) DE Herford 32051 Deichkamp 13 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/89198349">89198349</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=8.6581057&right=8.6581077&top=52.1126055&bottom=52.1126035&select=node89198349">JOSM</a>) 	pin.png	16,16	-8,-8
50.99256090	7.03558880	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/289104684">289104684</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0355878&right=7.0355898&top=50.9925619&bottom=50.9925599&select=node289104684">JOSM</a>) DE Kln 51061 Eifgenweg 17 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/289104677">289104677</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0356432&right=7.0356452&top=50.9922725&bottom=50.9922705&select=node289104677">JOSM</a>) 	pin.png	16,16	-8,-8
50.99351980	7.03531180	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/289104761">289104761</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0353108&right=7.0353128&top=50.9935208&bottom=50.9935188&select=node289104761">JOSM</a>) DE Kln 51061 Eifgenweg 19 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/289104642">289104642</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0356155&right=7.0356175&top=50.9924468&bottom=50.9924448&select=node289104642">JOSM</a>) 	pin.png	16,16	-8,-8
50.99507380	7.03241180	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/307181166">307181166</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0324108&right=7.0324128&top=50.9950748&bottom=50.9950728&select=node307181166">JOSM</a>) DE Kln 51069 Breslauer Strae 1 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/307181160">307181160</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0324070&right=7.0324090&top=50.9950730&bottom=50.9950710&select=node307181160">JOSM</a>) 	pin.png	16,16	-8,-8
51.94020790	7.18314270	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/307637399">307637399</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1831417&right=7.1831437&top=51.9402089&bottom=51.9402069&select=node307637399">JOSM</a>) DE Coesfeld 48653 Gerlever Weg 16a is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/307637398">307637398</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1827812&right=7.1827832&top=51.9403017&bottom=51.9402997&select=node307637398">JOSM</a>) 	pin.png	16,16	-8,-8
50.88200790	6.11838050	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/316623833">316623833</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.1183795&right=6.1183815&top=50.8820089&bottom=50.8820069&select=node316623833">JOSM</a>) DE Herzogenrath 52134 Schillerstrae 19 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/316060821">316060821</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.1181454&right=6.1181474&top=50.8818479&bottom=50.8818459&select=node316060821">JOSM</a>) 	pin.png	16,16	-8,-8
50.94476260	6.96216110	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/320586164">320586164</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9621601&right=6.9621621&top=50.9447636&bottom=50.9447616&select=node320586164">JOSM</a>) DE Kln 50668 Am Alten Ufer 57 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/320586163">320586163</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9622829&right=6.9622849&top=50.9455191&bottom=50.9455171&select=node320586163">JOSM</a>) 	pin.png	16,16	-8,-8
50.97748710	7.03818240	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/320884444">320884444</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0381814&right=7.0381834&top=50.9774881&bottom=50.9774861&select=node320884444">JOSM</a>) DE Kln 51061 Pfarrer-Maybaum-Weg 39 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/320718446">320718446</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0387472&right=7.0387492&top=50.9770204&bottom=50.9770184&select=node320718446">JOSM</a>) 	pin.png	16,16	-8,-8
50.88291580	6.11416510	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/322864573">322864573</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.1141641&right=6.1141661&top=50.8829168&bottom=50.8829148&select=node322864573">JOSM</a>) DE Herzogenrath 52134 Albert-Schweitzer-Strae 2 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/322864493">322864493</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.1150171&right=6.1150191&top=50.8825627&bottom=50.8825607&select=node322864493">JOSM</a>) 	pin.png	16,16	-8,-8
51.94106590	7.16682460	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/324300146">324300146</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1668236&right=7.1668256&top=51.9410669&bottom=51.9410649&select=node324300146">JOSM</a>) DE Coesfeld 48653 Wiesenstrae 10 is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/324300101">324300101</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1670803&right=7.1670823&top=51.9408116&bottom=51.9408096&select=node324300101">JOSM</a>) 	pin.png	16,16	-8,-8
