	54188441	1
	90340820	1
	90816272	1
	137552938	1
	137552936	1
	141307941	1
	137554290	1
	92840689	1
	102862383	1
	102862499	1
	102862350	1
	102862669	1
	102862396	1
	102862675	1
	300991387	0
	1505070585	0
	1326465633	0
	1256903558	0
	1245330474	0
	90867467	1
	1238549252	0
	1416197309	0
	1416197367	0
	1411478722	0
	117923822	1
	149183257	1
	149183253	1
	149183244	1
	149183251	1
	144735711	1
	1729897591	0
	1731382823	0
	1731382830	0
	1731382827	0
	1730007586	0
	1730007585	0
	1729820087	0
	1729820072	0
	1741885650	0
	1731072562	0
	1731394389	0
	1731394388	0
	1731072536	0
	1741885645	0
	1731072552	0
	1731394386	0
	1731394384	0
	1729820079	0
	1731353654	0
	1731353656	0
	48647587	1
	598974678	0
	342241098	0
	341749650	0
	29947538	0
	654073580	0
	317792568	0
	41487928	1
	30603121	1
	30603123	1
	30603011	1
	30603008	1
	41487900	1
	41487888	1
	41487881	1
	46834057	1
	30603119	1
	41479973	1
	41481656	1
	30603007	1
	30603010	1
	41482197	1
	41483250	1
	30603006	1
	41487421	1
	41483527	1
	41487372	1
	41487268	1
	41487793	1
	41487705	1
	41487768	1
	41487872	1
	41481037	1
	41480279	1
	41476829	1
	30603009	1
	41487682	1
	41484057	1
	30603118	1
	41482360	1
	41487461	1
	41487851	1
	41487835	1
	41487604	1
	41487535	1
	24052223	1
